method,category,p_bar,energy,steiner_points,time
ant,A,0.0,23.008333333333333,18.565238095238094,0.9589251737367539
ant,B,0.0,31.79832713754647,17.83457249070632,1.2706490622767095
ant,C,0.0,20.443548387096776,16.5,0.46408369079712897
ant,D,0.0,7.074193548387097,7.038709677419355,0.21106198218560984
ant,E,0.0,8.603483606557377,9.00204918032787,0.29865346433686424
local,A,0.17845765749331396,24.63746157224418,15.205533596837945,1.0961505466246741
local,B,0.13140082861522895,23.053207359522627,17.449030333167578,1.8230291786388282
local,C,0.0,16.242857142857144,14.314285714285715,0.3083288499287196
local,D,0.0,7.052054794520548,5.7095890410958905,0.11677221141449388
local,E,0.0,10.278716216216216,5.212837837837838,0.13576210350603665
sa,A,0.9950932298736819,47.99159271368519,44.812704343764594,1.449157551369451
sa,B,0.7089727552345454,49.65435356200528,46.96042216358839,2.208471699000034
sa,C,1.8062680399288868,27.266666666666666,34.333333333333336,0.9546345194180806
sa,D,1.0985779938090798,26.52354570637119,24.127423822714682,0.3020203199413014
sa,E,1.0377707418475708,29.42733564013841,27.034602076124568,0.419942078293401
