method,steiner_methods,p_bar,steiner_points,energy,time
ant,centroid,0.0,18.27853881278539,25.27625570776256,1.151287810443199
ant,"centroid,circumcenter",0.0,16.073394495412845,26.69724770642202,0.955057413206188
ant,"centroid,circumcenter,mean_of_adjacent",0.0,16.083333333333332,28.34722222222222,0.9817988806300693
ant,"centroid,mean_of_adjacent",0.0,17.419354838709676,25.797235023041473,1.0245268663503058
ant,circumcenter,0.0,16.168181818181818,27.011363636363637,1.03825053951957
ant,"circumcenter,mean_of_adjacent",0.0,16.03669724770642,27.376146788990827,0.9544323945264204
ant,mean_of_adjacent,0.0,17.19158878504673,25.67056074766355,0.9806374445139805
ant,midpoint,0.0,17.777272727272727,26.461363636363636,1.1281610228798606
ant,"midpoint,centroid",0.0,17.68348623853211,24.905963302752294,1.0402116075568242
ant,"midpoint,centroid,circumcenter",0.0,16.11467889908257,26.488532110091743,1.033689318446938
ant,"midpoint,centroid,circumcenter,mean_of_adjacent",0.0,16.041666666666668,25.56712962962963,1.041447287356412
ant,"midpoint,centroid,mean_of_adjacent",0.0,16.930555555555557,24.881944444444443,1.0440451094397791
ant,"midpoint,circumcenter",0.0,16.18348623853211,26.229357798165136,0.959751004472785
ant,"midpoint,circumcenter,mean_of_adjacent",0.0,16.037037037037038,27.10185185185185,0.9765063866421029
ant,"midpoint,mean_of_adjacent",0.0,16.958715596330276,24.928899082568808,0.9987949964103349
ant,projection,0.0,17.14611872146119,26.408675799086758,1.1074686279035595
ant,"projection,centroid",0.0,17.092165898617512,26.702764976958527,1.0197178954902333
ant,"projection,centroid,circumcenter",0.0,17.285714285714285,25.850230414746544,1.1102401583974812
ant,"projection,centroid,circumcenter,mean_of_adjacent",0.0,17.11111111111111,24.0,1.1145891823150493
ant,"projection,centroid,mean_of_adjacent",0.0,16.827906976744185,26.56279069767442,1.0041660253391709
ant,"projection,circumcenter",0.0,17.34862385321101,25.224770642201836,1.0276451045220052
ant,"projection,circumcenter,mean_of_adjacent",0.0,17.069124423963135,25.152073732718893,1.0534372175893476
ant,"projection,mean_of_adjacent",0.0,16.912442396313363,25.580645161290324,1.014366975028394
ant,"projection,midpoint",0.0,16.91743119266055,28.55045871559633,1.0079465306133306
ant,"projection,midpoint,centroid",0.0,16.926605504587155,26.1697247706422,1.090499790436631
ant,"projection,midpoint,centroid,circumcenter",0.0,17.36111111111111,26.791666666666668,1.0147047649931025
ant,"projection,midpoint,centroid,circumcenter,mean_of_adjacent",0.0,17.134883720930233,25.63720930232558,1.2076763319414716
ant,"projection,midpoint,centroid,mean_of_adjacent",0.0,16.77674418604651,25.8953488372093,1.0932531390079232
ant,"projection,midpoint,circumcenter",0.0,17.4147465437788,24.37557603686636,1.1202892433113767
ant,"projection,midpoint,circumcenter,mean_of_adjacent",0.0,17.134883720930233,27.683720930232557,1.1175192167592602
ant,"projection,midpoint,mean_of_adjacent",0.0,16.822429906542055,26.598130841121495,1.0298986769168177
local,centroid,0.23601509324109485,15.13469387755102,22.946938775510205,1.3513922564837397
local,"centroid,circumcenter",0.2509904533878853,15.694214876033058,23.921487603305785,1.537649264020368
local,"centroid,circumcenter,mean_of_adjacent",0.2461015693886234,15.333333333333334,19.837606837606838,1.391023612429953
local,"centroid,mean_of_adjacent",0.23868336643373467,15.126050420168067,20.96638655462185,1.2673558908350326
local,circumcenter,0.0,15.242798353909466,23.82716049382716,1.4205140851652671
local,"circumcenter,mean_of_adjacent",0.0,14.882845188284518,20.671548117154813,1.2495916588037084
local,mean_of_adjacent,0.0,14.85531914893617,22.38936170212766,1.2236129821615016
local,midpoint,0.0,15.0,23.72222222222222,1.3569810066694095
local,"midpoint,centroid",0.2546481323565984,15.907563025210084,23.68487394957983,1.593024477237413
local,"midpoint,centroid,circumcenter",0.2493518434692768,14.875,20.911637931034484,1.277815939023577
